RaceName,AvgSpeedWinner,Distance,StageNum,ProfileScore,VertMeters,RaceRanking,StartlistQualScore,ParcourTypeCategorical,MaxAlt,WinningTimeHours,WinningTimeMinutes,WinningTimeMin,WonByCategorical,NumStarted,NumFinished,Months,Days,PercentFinished,DaysIntoYear
VueltaStage9,37.719,171.4,9,242,3675,9,970,MountainTop,743,4,32,272,Break,169,164,8,28,0.970414201,271.2
VueltaStage10,55.676,30.9,10,4,179,9,970,ITTFlat,79,0,33,33,ITT,164,156,8,30,0.951219512,273.2
VueltaStage11,37.832,191.2,11,38,1592,9,970,Flat,331,5,3,303,Sprint,156,150,8,31,0.961538462,274.2
VueltaStage12,41.525,192.7,12,273,3238,9,970,MountainTop,1260,4,38,278,Break,150,147,9,1,0.98,274.6
VueltaStage13,33.705,168.4,13,54,1766,9,970,FlatHill,765,3,46,226,Sprint,147,146,9,2,0.993197279,275.6
VueltaStage14,38.557,160.3,14,278,3312,9,970,MountainTop,1815,4,9,249,Break,146,145,9,3,0.993150685,276.6
VueltaStage15,35.587,152.6,15,407,4033,9,970,MountainTop,2507,4,17,257,Break,145,144,9,4,0.993103448,277.6
VueltaStage16,39.806,189.4,16,28,1076,9,970,HillHill,133,4,45,285,SmallSprint,144,142,9,6,0.986111111,279.6
VueltaStage17,43.773,162.3,17,161,2755,9,970,FlatHill,1095,3,42,222,Break,142,138,9,7,0.971830986,280.6
VueltaStage18,40.381,192,18,214,3680,9,970,MountainTop,1269,4,45,285,GCGroup,138,134,9,8,0.971014493,281.6
VueltaStage19,41.66,138.3,19,101,2278,9,970,HillFlat,1223,3,19,199,Sprint,134,134,9,9,1,282.6
VueltaStage20,38.57,181,20,216,3977,9,970,MountainTop,1853,4,41,281,Break,134,134,9,10,1,283.6
VueltaStage21,39.577,96.7,21,10,773,9,970,Flat,754,2,26,146,Sprint,134,134,9,11,1,284.6
Bemer,44.278,204.7,1,30,892,27,651,HillFlat,74,4,37,277,SmallSprint,147,126,8,21,0.857142857,264.2
Bretagne,41.958,254.8,1,95,3116,12,812,HillFlat,241,6,4,364,SmallSprint,166,139,8,28,0.837349398,271.2
Quebec,42.156,201.6,1,60,2508,10,866,HillFlat,92,4,46,286,Solo,147,119,9,9,0.80952381,282.6
Montreal,36.938,221.4,1,182,4124,11,864,HillFlat,208,5,59,359,SmallSprint,145,76,9,11,0.524137931,284.6
Lombardia,39.804,253,1,278,4852,6,1019,HillFlat,1061,6,21,381,SmallSprint,175,107,10,8,0.611428571,312
